"","TipLabels_Data","Date"
"A/Desgenettes/2434/2016--EPI_ISL_247457--A_/_H3N2--12/07/2016","A/Desgenettes/2434/2016--EPI_ISL_247457--A_/_H3N2--12/07/2016","12/07/2016"
"A/Lyon/2434/2016--EPI_ISL_331721--A_/_H3N2--12/07/2016","A/Lyon/2434/2016--EPI_ISL_331721--A_/_H3N2--12/07/2016","12/07/2016"
"A/Lyon/0301R0043/2017--EPI_ISL_331668--A_/_H3N2--01/02/2017","A/Lyon/0301R0043/2017--EPI_ISL_331668--A_/_H3N2--01/02/2017","01/02/2017"
"A/Lyon/1212R0098/2016--EPI_ISL_331680--A_/_H3N2--12/12/2016","A/Lyon/1212R0098/2016--EPI_ISL_331680--A_/_H3N2--12/12/2016","12/12/2016"
"A/Lyon/2812R0569/2016--EPI_ISL_331745--A_/_H3N2--12/28/2016","A/Lyon/2812R0569/2016--EPI_ISL_331745--A_/_H3N2--12/28/2016","12/28/2016"
"A/Lyon/2812R0340/2016--EPI_ISL_331743--A_/_H3N2--12/28/2016","A/Lyon/2812R0340/2016--EPI_ISL_331743--A_/_H3N2--12/28/2016","12/28/2016"
"A/LyonCHU/2812R569/2016--EPI_ISL_247518--A_/_H3N2--12/28/2016","A/LyonCHU/2812R569/2016--EPI_ISL_247518--A_/_H3N2--12/28/2016","12/28/2016"
"A/LyonCHU/2812R340/2016--EPI_ISL_247516--A_/_H3N2--12/28/2016","A/LyonCHU/2812R340/2016--EPI_ISL_247516--A_/_H3N2--12/28/2016","12/28/2016"
"A/Serbia/2252/2016--EPI_ISL_267975--A_/_H3N2--12/23/2016","A/Serbia/2252/2016--EPI_ISL_267975--A_/_H3N2--12/23/2016","12/23/2016"
"A/Serbia/2395/2017--EPI_ISL_267979--A_/_H3N2--01/04/2017","A/Serbia/2395/2017--EPI_ISL_267979--A_/_H3N2--01/04/2017","01/04/2017"
"A/Serbia/2673/2017--EPI_ISL_267983--A_/_H3N2--02/03/2017","A/Serbia/2673/2017--EPI_ISL_267983--A_/_H3N2--02/03/2017","02/03/2017"
"A/Hungary/198/2016--EPI_ISL_248837--A_/_H3N2--12/19/2016","A/Hungary/198/2016--EPI_ISL_248837--A_/_H3N2--12/19/2016","12/19/2016"
"A/Serbia/2290/2016--EPI_ISL_267978--A_/_H3N2--12/27/2016","A/Serbia/2290/2016--EPI_ISL_267978--A_/_H3N2--12/27/2016","12/27/2016"
"A/Serbia/2070/2016--EPI_ISL_267969--A_/_H3N2--12/09/2016","A/Serbia/2070/2016--EPI_ISL_267969--A_/_H3N2--12/09/2016","12/09/2016"
"A/Bosnia_and_Herzegovina/10/2016--EPI_ISL_259650--A_/_H3N2--11/28/2016","A/Bosnia_and_Herzegovina/10/2016--EPI_ISL_259650--A_/_H3N2--11/28/2016","11/28/2016"
"A/Bosnia_and_Herzegovina/14/2016--EPI_ISL_259652--A_/_H3N2--12/19/2016","A/Bosnia_and_Herzegovina/14/2016--EPI_ISL_259652--A_/_H3N2--12/19/2016","12/19/2016"
"A/Bosnia_and_Herzegovina/6937/2017--EPI_ISL_280258--A_/_H3N2--01/17/2017","A/Bosnia_and_Herzegovina/6937/2017--EPI_ISL_280258--A_/_H3N2--01/17/2017","01/17/2017"
"A/Yunnan-Wenshan/1869/2016--EPI_ISL_242499--A_/_H3N2--10/25/2016","A/Yunnan-Wenshan/1869/2016--EPI_ISL_242499--A_/_H3N2--10/25/2016","10/25/2016"
"A/Zambia/02-00087/2017--EPI_ISL_288787--A_/_H3N2--02/16/2017","A/Zambia/02-00087/2017--EPI_ISL_288787--A_/_H3N2--02/16/2017","02/16/2017"
"A/Oman/20/2016--EPI_ISL_288777--A_/_H3N2--12/28/2016","A/Oman/20/2016--EPI_ISL_288777--A_/_H3N2--12/28/2016","12/28/2016"
"A/Paris/3019/2016--EPI_ISL_239627--A_/_H3N2--11/23/2016","A/Paris/3019/2016--EPI_ISL_239627--A_/_H3N2--11/23/2016","11/23/2016"
"A/Niedersachsen/58/2016--EPI_ISL_257386--A_/_H3N2--11/15/2016","A/Niedersachsen/58/2016--EPI_ISL_257386--A_/_H3N2--11/15/2016","11/15/2016"
"A/Dijon/881/2017--EPI_ISL_252496--A_/_H3N2--12/22/2016","A/Dijon/881/2017--EPI_ISL_252496--A_/_H3N2--12/22/2016","12/22/2016"
"A/Dijon/896/2017--EPI_ISL_256536--A_/_H3N2--12/14/2016","A/Dijon/896/2017--EPI_ISL_256536--A_/_H3N2--12/14/2016","12/14/2016"
"A/Dijon/883/2017--EPI_ISL_255671--A_/_H3N2--12/21/2016","A/Dijon/883/2017--EPI_ISL_255671--A_/_H3N2--12/21/2016","12/21/2016"
"A/Champagne_Ardenne/645/2017--EPI_ISL_249365--A_/_H3N2--01/25/2017","A/Champagne_Ardenne/645/2017--EPI_ISL_249365--A_/_H3N2--01/25/2017","01/25/2017"
"A/Paris/1077/2017--EPI_ISL_256540--A_/_H3N2--02/23/2017","A/Paris/1077/2017--EPI_ISL_256540--A_/_H3N2--02/23/2017","02/23/2017"
"A/Pays_de_Loire/603/2017--EPI_ISL_249364--A_/_H3N2--01/17/2017","A/Pays_de_Loire/603/2017--EPI_ISL_249364--A_/_H3N2--01/17/2017","01/17/2017"
"A/Estonia/103796/2016--EPI_ISL_244161--A_/_H3N2--12/14/2016","A/Estonia/103796/2016--EPI_ISL_244161--A_/_H3N2--12/14/2016","12/14/2016"
"A/Estonia/103960/2016--EPI_ISL_244165--A_/_H3N2--12/21/2016","A/Estonia/103960/2016--EPI_ISL_244165--A_/_H3N2--12/21/2016","12/21/2016"
"A/New_Hampshire/23/2016--EPI_ISL_238706--A_/_H3N2--10/28/2016","A/New_Hampshire/23/2016--EPI_ISL_238706--A_/_H3N2--10/28/2016","10/28/2016"
"A/West_Virginia/14/2016--EPI_ISL_244788--A_/_H3N2--12/16/2016","A/West_Virginia/14/2016--EPI_ISL_244788--A_/_H3N2--12/16/2016","12/16/2016"
"A/Hawaii/99/2016--EPI_ISL_241613--A_/_H3N2--12/03/2016","A/Hawaii/99/2016--EPI_ISL_241613--A_/_H3N2--12/03/2016","12/03/2016"
"A/West_Virginia/03/2017--EPI_ISL_258302--A_/_H3N2--01/23/2017","A/West_Virginia/03/2017--EPI_ISL_258302--A_/_H3N2--01/23/2017","01/23/2017"
"A/West_Virginia/10/2016--EPI_ISL_240203--A_/_H3N2--11/25/2016","A/West_Virginia/10/2016--EPI_ISL_240203--A_/_H3N2--11/25/2016","11/25/2016"
"A/West_Virginia/07/2017--EPI_ISL_256999--A_/_H3N2--02/04/2017","A/West_Virginia/07/2017--EPI_ISL_256999--A_/_H3N2--02/04/2017","02/04/2017"
"A/West_Virginia/11/2016--EPI_ISL_240204--A_/_H3N2--12/07/2016","A/West_Virginia/11/2016--EPI_ISL_240204--A_/_H3N2--12/07/2016","12/07/2016"
"A/West_Virginia/12/2016--EPI_ISL_244786--A_/_H3N2--12/07/2016","A/West_Virginia/12/2016--EPI_ISL_244786--A_/_H3N2--12/07/2016","12/07/2016"
"A/New_York/104/2016--EPI_ISL_239708--A_/_H3N2--10/25/2016","A/New_York/104/2016--EPI_ISL_239708--A_/_H3N2--10/25/2016","10/25/2016"
"A/West_Virginia/07/2017--EPI_ISL_257904--A_/_H3N2--02/04/2017","A/West_Virginia/07/2017--EPI_ISL_257904--A_/_H3N2--02/04/2017","02/04/2017"
"A/Nicaragua/9516_01/2016--EPI_ISL_279346--A_/_H3N2--12/12/2016","A/Nicaragua/9516_01/2016--EPI_ISL_279346--A_/_H3N2--12/12/2016","12/12/2016"
"A/Nicaragua/9517_01_TR5/2016--EPI_ISL_381136--A_/_H3N2--11/21/2016","A/Nicaragua/9517_01_TR5/2016--EPI_ISL_381136--A_/_H3N2--11/21/2016","11/21/2016"
"A/Nicaragua/IIIn_16_0266_01NT/2016--EPI_ISL_372205--A_/_H3N2--11/03/2016","A/Nicaragua/IIIn_16_0266_01NT/2016--EPI_ISL_372205--A_/_H3N2--11/03/2016","11/03/2016"
"A/Nicaragua/5935_12/2016--EPI_ISL_295071--A_/_H3N2--11/08/2016","A/Nicaragua/5935_12/2016--EPI_ISL_295071--A_/_H3N2--11/08/2016","11/08/2016"
"A/Nicaragua/6893_05/2016--EPI_ISL_279348--A_/_H3N2--12/02/2016","A/Nicaragua/6893_05/2016--EPI_ISL_279348--A_/_H3N2--12/02/2016","12/02/2016"
"A/Nicaragua/7493_11/2016--EPI_ISL_279391--A_/_H3N2--12/05/2016","A/Nicaragua/7493_11/2016--EPI_ISL_279391--A_/_H3N2--12/05/2016","12/05/2016"
"A/Nicaragua/7718_04/2016--EPI_ISL_279347--A_/_H3N2--12/14/2016","A/Nicaragua/7718_04/2016--EPI_ISL_279347--A_/_H3N2--12/14/2016","12/14/2016"
"A/Nicaragua/7473_10/2016--EPI_ISL_279350--A_/_H3N2--12/22/2016","A/Nicaragua/7473_10/2016--EPI_ISL_279350--A_/_H3N2--12/22/2016","12/22/2016"
"A/Nicaragua/5275_01_TR2/2016--EPI_ISL_381111--A_/_H3N2--11/21/2016","A/Nicaragua/5275_01_TR2/2016--EPI_ISL_381111--A_/_H3N2--11/21/2016","11/21/2016"
"A/Nicaragua/778/2016--EPI_ISL_249994--A_/_H3N2--11/22/2016","A/Nicaragua/778/2016--EPI_ISL_249994--A_/_H3N2--11/22/2016","11/22/2016"
"A/Nicaragua/778/2016--EPI_ISL_256136--A_/_H3N2--11/22/2016","A/Nicaragua/778/2016--EPI_ISL_256136--A_/_H3N2--11/22/2016","11/22/2016"
"A/Nicaragua/6678.06/2016--EPI_ISL_257873--A_/_H3N2--11/29/2016","A/Nicaragua/6678.06/2016--EPI_ISL_257873--A_/_H3N2--11/29/2016","11/29/2016"
"A/Nicaragua/9073_02/2016--EPI_ISL_279345--A_/_H3N2--12/14/2016","A/Nicaragua/9073_02/2016--EPI_ISL_279345--A_/_H3N2--12/14/2016","12/14/2016"
"A/Nicaragua/6831.07/2016--EPI_ISL_257874--A_/_H3N2--12/09/2016","A/Nicaragua/6831.07/2016--EPI_ISL_257874--A_/_H3N2--12/09/2016","12/09/2016"
"A/Nicaragua/8031.1/2016--EPI_ISL_249992--A_/_H3N2--11/29/2016","A/Nicaragua/8031.1/2016--EPI_ISL_249992--A_/_H3N2--11/29/2016","11/29/2016"
"A/Nicaragua/6838.08/2016--EPI_ISL_249998--A_/_H3N2--11/23/2016","A/Nicaragua/6838.08/2016--EPI_ISL_249998--A_/_H3N2--11/23/2016","11/23/2016"
"A/Managua/8779.06/2016--EPI_ISL_240305--A_/_H3N2--09/08/2016","A/Managua/8779.06/2016--EPI_ISL_240305--A_/_H3N2--09/08/2016","09/08/2016"
"A/Managua/8779.06/2016--EPI_ISL_238659--A_/_H3N2--09/08/2016","A/Managua/8779.06/2016--EPI_ISL_238659--A_/_H3N2--09/08/2016","09/08/2016"
"A/Nicaragua/6893.05/2016--EPI_ISL_249993--A_/_H3N2--12/02/2016","A/Nicaragua/6893.05/2016--EPI_ISL_249993--A_/_H3N2--12/02/2016","12/02/2016"
"A/Costa_Rica/1528/2016--EPI_ISL_249024--A_/_H3N2--12/25/2016","A/Costa_Rica/1528/2016--EPI_ISL_249024--A_/_H3N2--12/25/2016","12/25/2016"
"A/Nicaragua/7493.11/2016--EPI_ISL_249999--A_/_H3N2--12/05/2016","A/Nicaragua/7493.11/2016--EPI_ISL_249999--A_/_H3N2--12/05/2016","12/05/2016"
"A/Nicaragua/808/2016--EPI_ISL_249995--A_/_H3N2--11/21/2016","A/Nicaragua/808/2016--EPI_ISL_249995--A_/_H3N2--11/21/2016","11/21/2016"
"A/Nicaragua/9516.01/2016--EPI_ISL_249997--A_/_H3N2--12/12/2016","A/Nicaragua/9516.01/2016--EPI_ISL_249997--A_/_H3N2--12/12/2016","12/12/2016"
"A/Nicaragua/8694.11/2016--EPI_ISL_256138--A_/_H3N2--11/29/2016","A/Nicaragua/8694.11/2016--EPI_ISL_256138--A_/_H3N2--11/29/2016","11/29/2016"
"A/Nicaragua/808/2016--EPI_ISL_256137--A_/_H3N2--11/21/2016","A/Nicaragua/808/2016--EPI_ISL_256137--A_/_H3N2--11/21/2016","11/21/2016"
"A/Nicaragua/5978.06/2016--EPI_ISL_249996--A_/_H3N2--11/23/2016","A/Nicaragua/5978.06/2016--EPI_ISL_249996--A_/_H3N2--11/23/2016","11/23/2016"
"A/Nicaragua/815/2016--EPI_ISL_256139--A_/_H3N2--11/22/2016","A/Nicaragua/815/2016--EPI_ISL_256139--A_/_H3N2--11/22/2016","11/22/2016"
"A/Nicaragua/8744.07/2016--EPI_ISL_256135--A_/_H3N2--11/27/2016","A/Nicaragua/8744.07/2016--EPI_ISL_256135--A_/_H3N2--11/27/2016","11/27/2016"
"A/Victoria/803/2016--EPI_ISL_234171--A_/_H3N2--08/13/2016","A/Victoria/803/2016--EPI_ISL_234171--A_/_H3N2--08/13/2016","08/13/2016"
"A/Victoria/559/2016--EPI_ISL_234214--A_/_H3N2--08/10/2016","A/Victoria/559/2016--EPI_ISL_234214--A_/_H3N2--08/10/2016","08/10/2016"
"A/Saudi_Arabia/193825/2016--EPI_ISL_239507--A_/_H3N2--09/20/2016","A/Saudi_Arabia/193825/2016--EPI_ISL_239507--A_/_H3N2--09/20/2016","09/20/2016"
"A/Saudi_Arabia/193416/2016--EPI_ISL_239516--A_/_H3N2--09/18/2016","A/Saudi_Arabia/193416/2016--EPI_ISL_239516--A_/_H3N2--09/18/2016","09/18/2016"
"A/Ohio/30/2016--EPI_ISL_233470--A_/_H3N2--08/10/2016","A/Ohio/30/2016--EPI_ISL_233470--A_/_H3N2--08/10/2016","08/10/2016"
"A/Tasmania/118/2016--EPI_ISL_239836--A_/_H3N2--10/18/2016","A/Tasmania/118/2016--EPI_ISL_239836--A_/_H3N2--10/18/2016","10/18/2016"
"A/Gansu-Chengguan/523/2016--EPI_ISL_223582--A_/_H3N2--01/19/2016","A/Gansu-Chengguan/523/2016--EPI_ISL_223582--A_/_H3N2--01/19/2016","01/19/2016"
"A/Saskatchewan/RV0044/2016--EPI_ISL_214005--A_/_H3N2--01/13/2016","A/Saskatchewan/RV0044/2016--EPI_ISL_214005--A_/_H3N2--01/13/2016","01/13/2016"
"A/Scotland/63440578/2016--EPI_ISL_237664--A_/_H3N2--08/25/2016","A/Scotland/63440578/2016--EPI_ISL_237664--A_/_H3N2--08/25/2016","08/25/2016"
"A/Scotland/63440582/2016--EPI_ISL_237666--A_/_H3N2--08/25/2016","A/Scotland/63440582/2016--EPI_ISL_237666--A_/_H3N2--08/25/2016","08/25/2016"
"A/Scotland/63440583/2016--EPI_ISL_237667--A_/_H3N2--08/25/2016","A/Scotland/63440583/2016--EPI_ISL_237667--A_/_H3N2--08/25/2016","08/25/2016"
"A/Scotland/63440579/2016--EPI_ISL_237665--A_/_H3N2--08/25/2016","A/Scotland/63440579/2016--EPI_ISL_237665--A_/_H3N2--08/25/2016","08/25/2016"
"A/Oman/5466/2016--EPI_ISL_276291--A_/_H3N2--07/06/2016","A/Oman/5466/2016--EPI_ISL_276291--A_/_H3N2--07/06/2016","07/06/2016"
"A/Oman/7571/2016--EPI_ISL_259580--A_/_H3N2--10/31/2016","A/Oman/7571/2016--EPI_ISL_259580--A_/_H3N2--10/31/2016","10/31/2016"
"A/Oman/5466/2016--EPI_ISL_233478--A_/_H3N2--07/06/2016","A/Oman/5466/2016--EPI_ISL_233478--A_/_H3N2--07/06/2016","07/06/2016"
"A/Oman/5466/2016--EPI_ISL_249065--A_/_H3N2--07/06/2016","A/Oman/5466/2016--EPI_ISL_249065--A_/_H3N2--07/06/2016","07/06/2016"
"A/Oman/5466/2016--EPI_ISL_249064--A_/_H3N2--07/06/2016","A/Oman/5466/2016--EPI_ISL_249064--A_/_H3N2--07/06/2016","07/06/2016"
"A/England/62920695/2016--EPI_ISL_233165--A_/_H3N2--07/14/2016","A/England/62920695/2016--EPI_ISL_233165--A_/_H3N2--07/14/2016","07/14/2016"
"A/India/8355/2016--EPI_ISL_244853--A_/_H3N2--07/14/2016","A/India/8355/2016--EPI_ISL_244853--A_/_H3N2--07/14/2016","07/14/2016"
"A/Vladivostok/2/2016--EPI_ISL_231825--A_/_H3N2--01/12/2016","A/Vladivostok/2/2016--EPI_ISL_231825--A_/_H3N2--01/12/2016","01/12/2016"
"A/Alaska/159/2015--EPI_ISL_205186--A_/_H3N2--08/17/2015","A/Alaska/159/2015--EPI_ISL_205186--A_/_H3N2--08/17/2015","08/17/2015"
"A/Alaska/159/2015--EPI_ISL_205187--A_/_H3N2--08/17/2015","A/Alaska/159/2015--EPI_ISL_205187--A_/_H3N2--08/17/2015","08/17/2015"
"A/Neimenggu-Huimin/1982/2015--EPI_ISL_212655--A_/_H3N2--12/28/2015","A/Neimenggu-Huimin/1982/2015--EPI_ISL_212655--A_/_H3N2--12/28/2015","12/28/2015"
"A/England/60800627/2016--EPI_ISL_241389--A_/_H3N2--02/17/2016","A/England/60800627/2016--EPI_ISL_241389--A_/_H3N2--02/17/2016","02/17/2016"
"A/YOKOHAMA/4/2016--EPI_ISL_213432--A_/_H3N2--01/10/2016","A/YOKOHAMA/4/2016--EPI_ISL_213432--A_/_H3N2--01/10/2016","01/10/2016"
"A/Singapore/INFKK-16-0105/2016--EPI_ISL_225912--A_/_H3N2--01/28/2016","A/Singapore/INFKK-16-0105/2016--EPI_ISL_225912--A_/_H3N2--01/28/2016","01/28/2016"
"A/Heilongjiang-Yichun/1143/2016--EPI_ISL_223515--A_/_H3N2--01/26/2016","A/Heilongjiang-Yichun/1143/2016--EPI_ISL_223515--A_/_H3N2--01/26/2016","01/26/2016"
"A/Shanghai-Putuo/1743/2015--EPI_ISL_207767--A_/_H3N2--10/28/2015","A/Shanghai-Putuo/1743/2015--EPI_ISL_207767--A_/_H3N2--10/28/2015","10/28/2015"
"A/Heilongjiang-Jianhua/15/2016--EPI_ISL_212650--A_/_H3N2--01/03/2016","A/Heilongjiang-Jianhua/15/2016--EPI_ISL_212650--A_/_H3N2--01/03/2016","01/03/2016"
"A/Neimenggu-Xilinhaote/1166/2016--EPI_ISL_225360--A_/_H3N2--03/01/2016","A/Neimenggu-Xilinhaote/1166/2016--EPI_ISL_225360--A_/_H3N2--03/01/2016","03/01/2016"
"A/Brisbane/298/2016--EPI_ISL_288832--A_/_H3N2--10/29/2016","A/Brisbane/298/2016--EPI_ISL_288832--A_/_H3N2--10/29/2016","10/29/2016"
"A/Brisbane/298/2016--EPI_ISL_243997--A_/_H3N2--10/29/2016","A/Brisbane/298/2016--EPI_ISL_243997--A_/_H3N2--10/29/2016","10/29/2016"
"A/IBARAKI/63/2016--EPI_ISL_236849--A_/_H3N2--06/19/2016","A/IBARAKI/63/2016--EPI_ISL_236849--A_/_H3N2--06/19/2016","06/19/2016"
"A/Iceland/65/2016--EPI_ISL_259543--A_/_H3N2--12/12/2016","A/Iceland/65/2016--EPI_ISL_259543--A_/_H3N2--12/12/2016","12/12/2016"
"A/Saudi_Arabia/191777/2016--EPI_ISL_239464--A_/_H3N2--09/09/2016","A/Saudi_Arabia/191777/2016--EPI_ISL_239464--A_/_H3N2--09/09/2016","09/09/2016"
"A/Norway/4238/2016--EPI_ISL_239444--A_/_H3N2--10/12/2016","A/Norway/4238/2016--EPI_ISL_239444--A_/_H3N2--10/12/2016","10/12/2016"
"A/Brisbane/285/2016--EPI_ISL_243971--A_/_H3N2--10/20/2016","A/Brisbane/285/2016--EPI_ISL_243971--A_/_H3N2--10/20/2016","10/20/2016"
"A/Brisbane/285/2016--EPI_ISL_275281--A_/_H3N2--10/20/2016","A/Brisbane/285/2016--EPI_ISL_275281--A_/_H3N2--10/20/2016","10/20/2016"
"A/Brisbane/285/2016--EPI_ISL_288854--A_/_H3N2--10/20/2016","A/Brisbane/285/2016--EPI_ISL_288854--A_/_H3N2--10/20/2016","10/20/2016"
"A/Vladivostok/105/2016--EPI_ISL_230359--A_/_H3N2--01/29/2016","A/Vladivostok/105/2016--EPI_ISL_230359--A_/_H3N2--01/29/2016","01/29/2016"
"A/MIE/25/2015--EPI_ISL_203064--A_/_H3N2--11/05/2015","A/MIE/25/2015--EPI_ISL_203064--A_/_H3N2--11/05/2015","11/05/2015"
"A/FUKUSHIMA/28/2016--EPI_ISL_224695--A_/_H3N2--02/03/2016","A/FUKUSHIMA/28/2016--EPI_ISL_224695--A_/_H3N2--02/03/2016","02/03/2016"
"A/TOKYO/15567/2016--EPI_ISL_218451--A_/_H3N2--01/18/2016","A/TOKYO/15567/2016--EPI_ISL_218451--A_/_H3N2--01/18/2016","01/18/2016"
"A/SAITAMA/58/2016--EPI_ISL_224693--A_/_H3N2--02/22/2016","A/SAITAMA/58/2016--EPI_ISL_224693--A_/_H3N2--02/22/2016","02/22/2016"
"A/TOKYO/15716/2016--EPI_ISL_229794--A_/_H3N2--02/08/2016","A/TOKYO/15716/2016--EPI_ISL_229794--A_/_H3N2--02/08/2016","02/08/2016"
"A/YOKOHAMA/102/2015--EPI_ISL_205814--A_/_H3N2--11/19/2015","A/YOKOHAMA/102/2015--EPI_ISL_205814--A_/_H3N2--11/19/2015","11/19/2015"
"A/SHIZUOKA/34/2015--EPI_ISL_205812--A_/_H3N2--11/06/2015","A/SHIZUOKA/34/2015--EPI_ISL_205812--A_/_H3N2--11/06/2015","11/06/2015"
"A/ISHIKAWA/109/2015--EPI_ISL_215158--A_/_H3N2--12/24/2015","A/ISHIKAWA/109/2015--EPI_ISL_215158--A_/_H3N2--12/24/2015","12/24/2015"
"A/Heilongjiang-Yichun/1634/2016--EPI_ISL_230738--A_/_H3N2--05/03/2016","A/Heilongjiang-Yichun/1634/2016--EPI_ISL_230738--A_/_H3N2--05/03/2016","05/03/2016"
"A/EHIME/20/2016--EPI_ISL_218457--A_/_H3N2--02/02/2016","A/EHIME/20/2016--EPI_ISL_218457--A_/_H3N2--02/02/2016","02/02/2016"
"A/Shizuoka/34/2015--EPI_ISL_218961--A_/_H3N2--11/06/2015","A/Shizuoka/34/2015--EPI_ISL_218961--A_/_H3N2--11/06/2015","11/06/2015"
"A/FUKUSHIMA/2/2016--EPI_ISL_215154--A_/_H3N2--01/12/2016","A/FUKUSHIMA/2/2016--EPI_ISL_215154--A_/_H3N2--01/12/2016","01/12/2016"
"A/KANAGAWA/147/2016--EPI_ISL_229788--A_/_H3N2--02/10/2016","A/KANAGAWA/147/2016--EPI_ISL_229788--A_/_H3N2--02/10/2016","02/10/2016"
"A/HYOGO/2003/2015--EPI_ISL_210373--A_/_H3N2--12/15/2015","A/HYOGO/2003/2015--EPI_ISL_210373--A_/_H3N2--12/15/2015","12/15/2015"
"A/WAKAYAMA/4/2016--EPI_ISL_218448--A_/_H3N2--01/15/2016","A/WAKAYAMA/4/2016--EPI_ISL_218448--A_/_H3N2--01/15/2016","01/15/2016"
"A/Gansu-Jingyuan/317/2016--EPI_ISL_225355--A_/_H3N2--03/08/2016","A/Gansu-Jingyuan/317/2016--EPI_ISL_225355--A_/_H3N2--03/08/2016","03/08/2016"
"A/Papeete/1623/2016--EPI_ISL_223915--A_/_H3N2--02/23/2016","A/Papeete/1623/2016--EPI_ISL_223915--A_/_H3N2--02/23/2016","02/23/2016"
"A/Papeete/1385/2016--EPI_ISL_223921--A_/_H3N2--02/29/2016","A/Papeete/1385/2016--EPI_ISL_223921--A_/_H3N2--02/29/2016","02/29/2016"
"A/Wyoming/15/2016--EPI_ISL_232100--A_/_H3N2--03/23/2016","A/Wyoming/15/2016--EPI_ISL_232100--A_/_H3N2--03/23/2016","03/23/2016"
"A/Arizona/58/2015--EPI_ISL_215769--A_/_H3N2--12/21/2015","A/Arizona/58/2015--EPI_ISL_215769--A_/_H3N2--12/21/2015","12/21/2015"
"A/Arizona/58/2015--EPI_ISL_219172--A_/_H3N2--12/21/2015","A/Arizona/58/2015--EPI_ISL_219172--A_/_H3N2--12/21/2015","12/21/2015"
"A/Papeete/1630/2016--EPI_ISL_223916--A_/_H3N2--02/25/2016","A/Papeete/1630/2016--EPI_ISL_223916--A_/_H3N2--02/25/2016","02/25/2016"
"A/Washington/18/2016--EPI_ISL_213030--A_/_H3N2--01/20/2016","A/Washington/18/2016--EPI_ISL_213030--A_/_H3N2--01/20/2016","01/20/2016"
"A/Washington/18/2016--EPI_ISL_215275--A_/_H3N2--01/20/2016","A/Washington/18/2016--EPI_ISL_215275--A_/_H3N2--01/20/2016","01/20/2016"
"A/Florida/64/2016--EPI_ISL_225110--A_/_H3N2--05/05/2016","A/Florida/64/2016--EPI_ISL_225110--A_/_H3N2--05/05/2016","05/05/2016"
"A/Nevada/21/2016--EPI_ISL_219273--A_/_H3N2--03/09/2016","A/Nevada/21/2016--EPI_ISL_219273--A_/_H3N2--03/09/2016","03/09/2016"
"A/Illinois/08/2016--EPI_ISL_222031--A_/_H3N2--02/08/2016","A/Illinois/08/2016--EPI_ISL_222031--A_/_H3N2--02/08/2016","02/08/2016"
"A/Colorado/08/2016--EPI_ISL_212981--A_/_H3N2--01/21/2016","A/Colorado/08/2016--EPI_ISL_212981--A_/_H3N2--01/21/2016","01/21/2016"
"A/Wyoming/10/2016--EPI_ISL_222077--A_/_H3N2--03/21/2016","A/Wyoming/10/2016--EPI_ISL_222077--A_/_H3N2--03/21/2016","03/21/2016"
"A/North_Carolina/13/2016--EPI_ISL_219200--A_/_H3N2--02/22/2016","A/North_Carolina/13/2016--EPI_ISL_219200--A_/_H3N2--02/22/2016","02/22/2016"
"A/Wyoming/22/2016--EPI_ISL_224072--A_/_H3N2--04/17/2016","A/Wyoming/22/2016--EPI_ISL_224072--A_/_H3N2--04/17/2016","04/17/2016"
"A/Wyoming/12/2016--EPI_ISL_223196--A_/_H3N2--03/30/2016","A/Wyoming/12/2016--EPI_ISL_223196--A_/_H3N2--03/30/2016","03/30/2016"
"A/Wyoming/26/2016--EPI_ISL_225141--A_/_H3N2--04/25/2016","A/Wyoming/26/2016--EPI_ISL_225141--A_/_H3N2--04/25/2016","04/25/2016"
"A/Gainesville/01/2016--EPI_ISL_221750--A_/_H3N2--03/18/2016","A/Gainesville/01/2016--EPI_ISL_221750--A_/_H3N2--03/18/2016","03/18/2016"
"A/Wyoming/15/2016--EPI_ISL_223197--A_/_H3N2--03/23/2016","A/Wyoming/15/2016--EPI_ISL_223197--A_/_H3N2--03/23/2016","03/23/2016"
"A/Wyoming/15/2016--EPI_ISL_233002--A_/_H3N2--03/23/2016","A/Wyoming/15/2016--EPI_ISL_233002--A_/_H3N2--03/23/2016","03/23/2016"
"A/North_Carolina/13/2016--EPI_ISL_215795--A_/_H3N2--02/22/2016","A/North_Carolina/13/2016--EPI_ISL_215795--A_/_H3N2--02/22/2016","02/22/2016"
"A/Wyoming/19/2016--EPI_ISL_224071--A_/_H3N2--04/04/2016","A/Wyoming/19/2016--EPI_ISL_224071--A_/_H3N2--04/04/2016","04/04/2016"
"A/Indiana/24/2016--EPI_ISL_214533--A_/_H3N2--02/14/2016","A/Indiana/24/2016--EPI_ISL_214533--A_/_H3N2--02/14/2016","02/14/2016"
"A/Indiana/17/2016--EPI_ISL_212994--A_/_H3N2--01/25/2016","A/Indiana/17/2016--EPI_ISL_212994--A_/_H3N2--01/25/2016","01/25/2016"
"A/Indiana/16/2016--EPI_ISL_212993--A_/_H3N2--01/22/2016","A/Indiana/16/2016--EPI_ISL_212993--A_/_H3N2--01/22/2016","01/22/2016"
"A/Indiana/17/2016--EPI_ISL_237379--A_/_H3N2--01/25/2016","A/Indiana/17/2016--EPI_ISL_237379--A_/_H3N2--01/25/2016","01/25/2016"
"A/Wyoming/07/2016--EPI_ISL_220333--A_/_H3N2--03/10/2016","A/Wyoming/07/2016--EPI_ISL_220333--A_/_H3N2--03/10/2016","03/10/2016"
